,iou,detect
TCGA_HT_7881_19981015_1.tif,100,All_TN
TCGA_HT_7881_19981015_10.tif,100,All_TN
TCGA_HT_7881_19981015_11.tif,100,All_TN
TCGA_HT_7881_19981015_12.tif,100,All_TN
TCGA_HT_7881_19981015_13.tif,100,All_TN
TCGA_HT_7881_19981015_14.tif,100,All_TN
TCGA_HT_7881_19981015_15.tif,100,All_TN
TCGA_HT_7881_19981015_16.tif,100,All_TN
TCGA_HT_7881_19981015_17.tif,100,All_TN
TCGA_HT_7881_19981015_18.tif,100,All_TN
TCGA_HT_7881_19981015_19.tif,100,All_TN
TCGA_HT_7881_19981015_2.tif,100,All_TN
TCGA_HT_7881_19981015_20.tif,100,All_TN
TCGA_HT_7881_19981015_21.tif,100,All_TN
TCGA_HT_7881_19981015_22.tif,100,All_TN
TCGA_HT_7881_19981015_23.tif,11.452031114952463,Detect
TCGA_HT_7881_19981015_24.tif,34.80565371024735,Detect
TCGA_HT_7881_19981015_25.tif,67.34434561626429,Detect
TCGA_HT_7881_19981015_26.tif,79.00128040973111,Detect
TCGA_HT_7881_19981015_27.tif,83.8477366255144,Detect
TCGA_HT_7881_19981015_28.tif,83.80281690140845,Detect
TCGA_HT_7881_19981015_29.tif,89.03394255874673,Detect
TCGA_HT_7881_19981015_3.tif,100,All_TN
TCGA_HT_7881_19981015_30.tif,66.02914389799636,Detect
TCGA_HT_7881_19981015_31.tif,87.71220695230396,Detect
TCGA_HT_7881_19981015_32.tif,60.0,Detect
TCGA_HT_7881_19981015_33.tif,0.0,No_detect
TCGA_HT_7881_19981015_34.tif,80.87349397590361,Detect
TCGA_HT_7881_19981015_35.tif,0.0,No_detect
TCGA_HT_7881_19981015_36.tif,66.99751861042184,Detect
TCGA_HT_7881_19981015_37.tif,58.68945868945868,Detect
TCGA_HT_7881_19981015_38.tif,0.0,NoMis_detect
TCGA_HT_7881_19981015_39.tif,0.0,NoMis_detect
TCGA_HT_7881_19981015_4.tif,100,All_TN
TCGA_HT_7881_19981015_40.tif,100,All_TN
TCGA_HT_7881_19981015_41.tif,100,All_TN
TCGA_HT_7881_19981015_42.tif,100,All_TN
TCGA_HT_7881_19981015_43.tif,100,All_TN
TCGA_HT_7881_19981015_44.tif,100,All_TN
TCGA_HT_7881_19981015_45.tif,100,All_TN
TCGA_HT_7881_19981015_46.tif,100,All_TN
TCGA_HT_7881_19981015_47.tif,100,All_TN
TCGA_HT_7881_19981015_48.tif,100,All_TN
TCGA_HT_7881_19981015_49.tif,100,All_TN
TCGA_HT_7881_19981015_5.tif,100,All_TN
TCGA_HT_7881_19981015_50.tif,100,All_TN
TCGA_HT_7881_19981015_51.tif,100,All_TN
TCGA_HT_7881_19981015_52.tif,100,All_TN
TCGA_HT_7881_19981015_53.tif,100,All_TN
TCGA_HT_7881_19981015_54.tif,100,All_TN
TCGA_HT_7881_19981015_55.tif,100,All_TN
TCGA_HT_7881_19981015_56.tif,100,All_TN
TCGA_HT_7881_19981015_57.tif,100,All_TN
TCGA_HT_7881_19981015_58.tif,100,All_TN
TCGA_HT_7881_19981015_59.tif,100,All_TN
TCGA_HT_7881_19981015_6.tif,100,All_TN
TCGA_HT_7881_19981015_60.tif,100,All_TN
TCGA_HT_7881_19981015_61.tif,100,All_TN
TCGA_HT_7881_19981015_62.tif,100,All_TN
TCGA_HT_7881_19981015_63.tif,100,All_TN
TCGA_HT_7881_19981015_64.tif,100,All_TN
TCGA_HT_7881_19981015_65.tif,100,All_TN
TCGA_HT_7881_19981015_66.tif,100,All_TN
TCGA_HT_7881_19981015_67.tif,100,All_TN
TCGA_HT_7881_19981015_68.tif,100,All_TN
TCGA_HT_7881_19981015_69.tif,100,All_TN
TCGA_HT_7881_19981015_7.tif,100,All_TN
TCGA_HT_7881_19981015_70.tif,100,All_TN
TCGA_HT_7881_19981015_71.tif,100,All_TN
TCGA_HT_7881_19981015_72.tif,100,All_TN
TCGA_HT_7881_19981015_73.tif,100,All_TN
TCGA_HT_7881_19981015_74.tif,100,All_TN
TCGA_HT_7881_19981015_75.tif,100,All_TN
TCGA_HT_7881_19981015_76.tif,100,All_TN
TCGA_HT_7881_19981015_77.tif,0.0,Mis_detect
TCGA_HT_7881_19981015_78.tif,100,All_TN
TCGA_HT_7881_19981015_79.tif,100,All_TN
TCGA_HT_7881_19981015_8.tif,100,All_TN
TCGA_HT_7881_19981015_80.tif,100,All_TN
TCGA_HT_7881_19981015_9.tif,100,All_TN
TCGA_HT_7882_19970125_1.tif,100,All_TN
TCGA_HT_7882_19970125_10.tif,100,All_TN
TCGA_HT_7882_19970125_11.tif,0.0,No_detect
TCGA_HT_7882_19970125_12.tif,79.42992874109264,Detect
TCGA_HT_7882_19970125_13.tif,80.71794871794872,Detect
TCGA_HT_7882_19970125_14.tif,79.9831555306008,Detect
TCGA_HT_7882_19970125_15.tif,82.5742997648065,Detect
TCGA_HT_7882_19970125_16.tif,79.76799056232797,Detect
TCGA_HT_7882_19970125_17.tif,66.92462987886944,Detect
TCGA_HT_7882_19970125_18.tif,82.66454774202091,Detect
TCGA_HT_7882_19970125_19.tif,75.44026653974298,Detect
TCGA_HT_7882_19970125_2.tif,100,All_TN
TCGA_HT_7882_19970125_20.tif,75.08554048916487,Detect
TCGA_HT_7882_19970125_21.tif,73.2657417289221,Detect
TCGA_HT_7882_19970125_22.tif,70.98654708520179,Detect
TCGA_HT_7882_19970125_23.tif,72.75485436893204,Detect
TCGA_HT_7882_19970125_24.tif,71.0016155088853,Detect
TCGA_HT_7882_19970125_25.tif,78.44674029212683,Detect
TCGA_HT_7882_19970125_26.tif,86.5979381443299,Detect
TCGA_HT_7882_19970125_27.tif,82.09366391184572,Detect
TCGA_HT_7882_19970125_28.tif,100,All_TN
TCGA_HT_7882_19970125_29.tif,100,All_TN
TCGA_HT_7882_19970125_3.tif,100,All_TN
TCGA_HT_7882_19970125_30.tif,100,All_TN
TCGA_HT_7882_19970125_31.tif,100,All_TN
TCGA_HT_7882_19970125_32.tif,0.0,Mis_detect
TCGA_HT_7882_19970125_4.tif,100,All_TN
TCGA_HT_7882_19970125_5.tif,100,All_TN
TCGA_HT_7882_19970125_6.tif,100,All_TN
TCGA_HT_7882_19970125_7.tif,100,All_TN
TCGA_HT_7882_19970125_8.tif,100,All_TN
TCGA_HT_7882_19970125_9.tif,100,All_TN
TCGA_HT_7884_19980913_1.tif,100,All_TN
TCGA_HT_7884_19980913_10.tif,78.40236686390533,Detect
TCGA_HT_7884_19980913_11.tif,80.91822094691535,Detect
TCGA_HT_7884_19980913_12.tif,71.84466019417476,Detect
TCGA_HT_7884_19980913_13.tif,100,All_TN
TCGA_HT_7884_19980913_14.tif,100,All_TN
TCGA_HT_7884_19980913_15.tif,100,All_TN
TCGA_HT_7884_19980913_16.tif,100,All_TN
TCGA_HT_7884_19980913_17.tif,100,All_TN
TCGA_HT_7884_19980913_18.tif,100,All_TN
TCGA_HT_7884_19980913_19.tif,100,All_TN
TCGA_HT_7884_19980913_2.tif,100,All_TN
TCGA_HT_7884_19980913_20.tif,100,All_TN
TCGA_HT_7884_19980913_3.tif,100,All_TN
TCGA_HT_7884_19980913_4.tif,100,All_TN
TCGA_HT_7884_19980913_5.tif,100,All_TN
TCGA_HT_7884_19980913_6.tif,81.56146179401993,Detect
TCGA_HT_7884_19980913_7.tif,80.18504240555127,Detect
TCGA_HT_7884_19980913_8.tif,85.9117840684661,Detect
TCGA_HT_7884_19980913_9.tif,78.62258953168045,Detect
TCGA_HT_8018_19970411_1.tif,100,All_TN
TCGA_HT_8018_19970411_10.tif,83.70927318295739,Detect
TCGA_HT_8018_19970411_11.tif,50.57736720554272,Detect
TCGA_HT_8018_19970411_12.tif,100,All_TN
TCGA_HT_8018_19970411_13.tif,100,All_TN
TCGA_HT_8018_19970411_14.tif,100,All_TN
TCGA_HT_8018_19970411_15.tif,100,All_TN
TCGA_HT_8018_19970411_16.tif,100,All_TN
TCGA_HT_8018_19970411_17.tif,100,All_TN
TCGA_HT_8018_19970411_18.tif,100,All_TN
TCGA_HT_8018_19970411_19.tif,100,All_TN
TCGA_HT_8018_19970411_2.tif,100,All_TN
TCGA_HT_8018_19970411_20.tif,100,All_TN
TCGA_HT_8018_19970411_3.tif,0.0,Mis_detect
TCGA_HT_8018_19970411_4.tif,100,All_TN
TCGA_HT_8018_19970411_5.tif,100,All_TN
TCGA_HT_8018_19970411_6.tif,100,All_TN
TCGA_HT_8018_19970411_7.tif,70.62461348175634,Detect
TCGA_HT_8018_19970411_8.tif,78.32866853258696,Detect
TCGA_HT_8018_19970411_9.tif,85.67669172932331,Detect
TCGA_HT_8105_19980826_1.tif,100,All_TN
TCGA_HT_8105_19980826_10.tif,100,All_TN
TCGA_HT_8105_19980826_11.tif,100,All_TN
TCGA_HT_8105_19980826_12.tif,100,All_TN
TCGA_HT_8105_19980826_13.tif,100,All_TN
TCGA_HT_8105_19980826_14.tif,35.06625891946993,Detect
TCGA_HT_8105_19980826_15.tif,49.92805755395683,Detect
TCGA_HT_8105_19980826_16.tif,69.84862527031201,Detect
TCGA_HT_8105_19980826_17.tif,79.52755905511812,Detect
TCGA_HT_8105_19980826_18.tif,83.71749953900056,Detect
TCGA_HT_8105_19980826_19.tif,85.41989463898358,Detect
TCGA_HT_8105_19980826_2.tif,100,All_TN
TCGA_HT_8105_19980826_20.tif,85.16459400146306,Detect
TCGA_HT_8105_19980826_21.tif,89.09361875084677,Detect
TCGA_HT_8105_19980826_22.tif,88.58658685893076,Detect
TCGA_HT_8105_19980826_23.tif,89.07660937955141,Detect
TCGA_HT_8105_19980826_24.tif,88.73792764773285,Detect
TCGA_HT_8105_19980826_25.tif,82.54392666157372,Detect
TCGA_HT_8105_19980826_26.tif,84.28240144292708,Detect
TCGA_HT_8105_19980826_27.tif,82.61552970763911,Detect
TCGA_HT_8105_19980826_28.tif,73.91304347826086,Detect
TCGA_HT_8105_19980826_29.tif,34.07917383820998,Detect
TCGA_HT_8105_19980826_3.tif,100,All_TN
TCGA_HT_8105_19980826_30.tif,5.72737686139748,Detect
TCGA_HT_8105_19980826_31.tif,100,All_TN
TCGA_HT_8105_19980826_32.tif,100,All_TN
TCGA_HT_8105_19980826_4.tif,100,All_TN
TCGA_HT_8105_19980826_5.tif,100,All_TN
TCGA_HT_8105_19980826_6.tif,100,All_TN
TCGA_HT_8105_19980826_7.tif,0.0,Mis_detect
TCGA_HT_8105_19980826_8.tif,0.0,Mis_detect
TCGA_HT_8105_19980826_9.tif,100,All_TN
TCGA_HT_8106_19970727_1.tif,100,All_TN
TCGA_HT_8106_19970727_10.tif,58.435708435708435,Detect
TCGA_HT_8106_19970727_11.tif,78.77991827203736,Detect
TCGA_HT_8106_19970727_12.tif,75.98039215686273,Detect
TCGA_HT_8106_19970727_13.tif,66.49083842309828,Detect
TCGA_HT_8106_19970727_14.tif,73.04942493005906,Detect
TCGA_HT_8106_19970727_15.tif,61.460846676902825,Detect
TCGA_HT_8106_19970727_16.tif,74.76635514018692,Detect
TCGA_HT_8106_19970727_17.tif,78.53982300884957,Detect
TCGA_HT_8106_19970727_18.tif,55.30012771392082,Detect
TCGA_HT_8106_19970727_19.tif,53.86503067484662,Detect
TCGA_HT_8106_19970727_2.tif,100,All_TN
TCGA_HT_8106_19970727_20.tif,0.0,No_detect
TCGA_HT_8106_19970727_21.tif,100,All_TN
TCGA_HT_8106_19970727_22.tif,100,All_TN
TCGA_HT_8106_19970727_3.tif,100,All_TN
TCGA_HT_8106_19970727_4.tif,100,All_TN
TCGA_HT_8106_19970727_5.tif,100,All_TN
TCGA_HT_8106_19970727_6.tif,100,All_TN
TCGA_HT_8106_19970727_7.tif,100,All_TN
TCGA_HT_8106_19970727_8.tif,55.55555555555556,Detect
TCGA_HT_8106_19970727_9.tif,74.56687456687456,Detect
TCGA_HT_8107_19980708_1.tif,100,All_TN
TCGA_HT_8107_19980708_10.tif,79.375,Detect
TCGA_HT_8107_19980708_11.tif,79.08997955010226,Detect
TCGA_HT_8107_19980708_12.tif,82.4163357912649,Detect
TCGA_HT_8107_19980708_13.tif,85.31770512029611,Detect
TCGA_HT_8107_19980708_14.tif,63.580786026200876,Detect
TCGA_HT_8107_19980708_15.tif,100,All_TN
TCGA_HT_8107_19980708_16.tif,100,All_TN
TCGA_HT_8107_19980708_17.tif,100,All_TN
TCGA_HT_8107_19980708_18.tif,100,All_TN
TCGA_HT_8107_19980708_19.tif,100,All_TN
TCGA_HT_8107_19980708_2.tif,100,All_TN
TCGA_HT_8107_19980708_20.tif,100,All_TN
TCGA_HT_8107_19980708_3.tif,0.0,Mis_detect
TCGA_HT_8107_19980708_4.tif,100,All_TN
TCGA_HT_8107_19980708_5.tif,100,All_TN
TCGA_HT_8107_19980708_6.tif,100,All_TN
TCGA_HT_8107_19980708_7.tif,100,All_TN
TCGA_HT_8107_19980708_8.tif,18.412274849899934,Detect
TCGA_HT_8107_19980708_9.tif,59.205190592051906,Detect
TCGA_HT_8111_19980330_1.tif,100,All_TN
TCGA_HT_8111_19980330_10.tif,100,All_TN
TCGA_HT_8111_19980330_11.tif,100,All_TN
TCGA_HT_8111_19980330_12.tif,100,All_TN
TCGA_HT_8111_19980330_13.tif,100,All_TN
TCGA_HT_8111_19980330_14.tif,86.72397325692455,Detect
TCGA_HT_8111_19980330_15.tif,90.37249283667622,Detect
TCGA_HT_8111_19980330_16.tif,92.36143455985095,Detect
TCGA_HT_8111_19980330_17.tif,89.89945155393053,Detect
TCGA_HT_8111_19980330_18.tif,90.12485811577753,Detect
TCGA_HT_8111_19980330_19.tif,71.51515151515152,Detect
TCGA_HT_8111_19980330_2.tif,100,All_TN
TCGA_HT_8111_19980330_20.tif,71.89292543021033,Detect
TCGA_HT_8111_19980330_21.tif,100,All_TN
TCGA_HT_8111_19980330_22.tif,100,All_TN
TCGA_HT_8111_19980330_3.tif,100,All_TN
TCGA_HT_8111_19980330_4.tif,100,All_TN
TCGA_HT_8111_19980330_5.tif,100,All_TN
TCGA_HT_8111_19980330_6.tif,100,All_TN
TCGA_HT_8111_19980330_7.tif,100,All_TN
TCGA_HT_8111_19980330_8.tif,100,All_TN
TCGA_HT_8111_19980330_9.tif,100,All_TN
TCGA_HT_8113_19930809_1.tif,100,All_TN
TCGA_HT_8113_19930809_10.tif,100,All_TN
TCGA_HT_8113_19930809_11.tif,100,All_TN
TCGA_HT_8113_19930809_12.tif,0.0,No_detect
TCGA_HT_8113_19930809_13.tif,49.76190476190476,Detect
TCGA_HT_8113_19930809_14.tif,64.09985935302392,Detect
TCGA_HT_8113_19930809_15.tif,53.6318407960199,Detect
TCGA_HT_8113_19930809_16.tif,59.2388306674021,Detect
TCGA_HT_8113_19930809_17.tif,68.80510793554272,Detect
TCGA_HT_8113_19930809_18.tif,62.17829168220813,Detect
TCGA_HT_8113_19930809_19.tif,45.958168456755224,Detect
TCGA_HT_8113_19930809_2.tif,100,All_TN
TCGA_HT_8113_19930809_20.tif,40.155728587319246,Detect
TCGA_HT_8113_19930809_21.tif,100,All_TN
TCGA_HT_8113_19930809_3.tif,100,All_TN
TCGA_HT_8113_19930809_4.tif,100,All_TN
TCGA_HT_8113_19930809_5.tif,100,All_TN
TCGA_HT_8113_19930809_6.tif,100,All_TN
TCGA_HT_8113_19930809_7.tif,100,All_TN
TCGA_HT_8113_19930809_8.tif,100,All_TN
TCGA_HT_8113_19930809_9.tif,100,All_TN
TCGA_HT_8114_19981030_1.tif,0.0,Mis_detect
TCGA_HT_8114_19981030_10.tif,55.2901023890785,Detect
TCGA_HT_8114_19981030_11.tif,81.54425612052731,Detect
TCGA_HT_8114_19981030_12.tif,90.26081214922417,Detect
TCGA_HT_8114_19981030_13.tif,86.77443056576047,Detect
